coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
ADAUSDC,2025-02-03 13:00:00+00:00,2025-02-03 14:00:00+00:00,0.708,0.7243,25.0,0.02302259887005663,0.5755649717514157,0.05057556497175142,0.5249894067796643,53.52522433986502,26
ADAUSDC,2025-02-03 14:00:00+00:00,2025-02-03 15:00:00+00:00,0.6979,0.7668,25.0,0.09872474566556824,2.4681186416392062,0.05246811864163921,2.415650522997567,55.940874862862586,27
ADAUSDC,2025-03-02 15:00:00+00:00,2025-03-02 16:00:00+00:00,0.6475,1.0373,25.0,0.6020077220077222,15.050193050193055,0.06505019305019306,14.985142857142861,70.92601772000545,28
ADAUSDC,2025-03-03 09:00:00+00:00,2025-03-03 10:00:00+00:00,0.9417,0.9838,25.0,0.044706382074970824,1.1176595518742707,0.05111765955187428,1.0665418923223964,71.99255961232784,29
ADAUSDC,2025-03-04 13:00:00+00:00,2025-03-04 14:00:00+00:00,0.8051,0.821,25.0,0.019749099490746384,0.4937274872686596,0.05049372748726866,0.44323375978139096,72.43579337210923,30
ADAUSDC,2025-03-04 14:00:00+00:00,2025-03-04 15:00:00+00:00,0.7959,0.8537,25.0,0.07262218871717548,1.815554717929387,0.05181555471792938,1.7637391632114576,74.19953253532069,31
ADAUSDC,2025-03-04 16:00:00+00:00,2025-03-04 17:00:00+00:00,0.8538,0.926,25.0,0.08456312953853366,2.1140782384633416,0.05211407823846334,2.0619641602248784,76.26149669554556,32
ADAUSDC,2025-03-04 20:00:00+00:00,2025-03-04 21:00:00+00:00,0.9258,0.9439,25.0,0.019550658889608993,0.4887664722402248,0.050488766472240224,0.4382777057679846,76.69977440131355,33
ADAUSDC,2025-03-05 00:00:00+00:00,2025-03-05 01:00:00+00:00,0.9406,0.9628,25.0,0.02360195619817138,0.5900489049542845,0.050590048904954284,0.5394588560493302,77.23923325736288,34
ADAUSDC,2025-03-10 18:00:00+00:00,2025-03-10 19:00:00+00:00,0.6753,0.6885,25.0,0.019546868058640587,0.4886717014660147,0.050488671701466016,0.43818302976454865,77.67741628712743,35
